Frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25
0,793.284,241.752,851.227,229.212,855.966,284.065,932.719,307.581,1040.81,315.42,857.513,169.771,962.483,155.555,1056.49,130.457,1029.85,243.32,1025.17,270.008,1109.78,270,0,0,1031.41,197.905,0,0,0,0,780.699,244.958,783.848,227.692,791.715,257.495,790.165,204.124,0,0,0,0,0,0,0,0,0,0,0,0
1,794.815,232.358,852.799,223.005,854.403,282.497,934.291,309.182,968.763,318.537,857.559,168.165,960.951,152.48,1054.93,127.435,1023.61,233.956,1017.32,269.977,1108.16,268.392,0,0,1026.73,194.752,1109.78,259.007,0,0,782.362,241.77,783.882,219.848,794.827,254.291,785.498,194.802,0,0,0,0,0,0,0,0,0,0,0,0
2,794.777,229.264,851.263,222.975,854.352,282.496,935.853,306.035,1023.6,315.413,857.528,168.091,959.41,152.449,1056.48,128.944,1023.62,232.419,1023.59,268.394,1137.96,259.014,0,0,1023.63,196.354,1095.63,197.918,0,0,783.84,235.548,783.877,218.331,794.886,248.059,788.58,194.791,0,0,0,0,0,0,0,0,0,0,0,0
3,793.26,230.809,851.259,222.999,851.272,282.459,932.712,307.542,1004.78,309.149,857.561,168.072,962.481,149.353,1058,130.466,1028.28,232.385,1022.03,268.368,1120.73,260.603,0,0,1031.41,193.195,1094.09,194.772,0,0,782.336,237.069,783.85,219.781,794.811,249.59,788.605,193.265,0,0,0,0,0,0,0,0,0,0,0,0
4,793.233,229.215,854.365,221.459,852.82,282.465,943.683,313.865,971.915,316.994,859.048,165.002,960.954,150.897,1056.49,130.59,1034.54,232.398,1025.17,266.862,1087.85,318.544,0,0,1037.69,193.222,1123.85,265.276,0,0,782.293,237.072,783.822,218.232,793.276,249.599,788.585,191.636,0,0,0,0,0,0,0,0,0,0,0,0
5,794.801,222.956,854.346,221.41,852.799,280.959,943.652,321.725,893.549,351.447,859.029,164.975,962.507,150.922,1056.48,132.151,1031.42,232.373,1023.59,268.431,1098.79,295.057,0,0,1034.6,193.168,0,0,0,0,783.84,232.452,783.867,215.16,794.852,246.465,788.577,190.055,0,0,0,0,0,0,0,0,0,0,0,0
6,796.394,221.426,852.822,219.874,854.373,280.873,942.12,326.356,884.166,343.626,857.552,163.465,962.507,152.464,1054.89,136.796,1034.58,230.783,1029.86,268.409,1086.27,313.844,0,0,1039.26,191.636,0,0,0,0,783.915,232.35,783.964,215.15,794.859,244.982,790.17,188.513,0,0,0,0,0,0,0,0,0,0,0,0
7,796.426,218.322,852.818,219.811,854.361,280.868,948.387,307.574,1043.97,326.392,859.046,160.327,962.486,153.988,1051.82,143.023,1043.94,230.829,1036.12,262.147,1137.96,259.016,0,0,1043.95,185.395,1145.79,257.429,0,0,783.862,229.249,785.458,207.334,793.246,244.977,796.364,182.21,0,0,0,0,0,0,0,0,0,0,0,0
8,796.404,218.271,854.367,218.267,854.374,279.332,946.824,304.445,1047.06,329.491,859.032,158.777,959.325,155.589,1053.37,144.628,1042.41,229.22,1036.12,259.04,1152.06,257.429,0,0,1047.11,193.168,1144.23,204.167,0,0,783.868,229.196,787.004,207.263,793.269,244.929,797.955,182.232,0,0,0,0,0,0,0,0,0,0,0,0
9,796.371,218.314,855.941,218.212,855.932,276.266,945.268,299.755,1047.12,329.493,859.102,158.724,957.805,155.525,1056.5,147.771,1036.13,232.373,1032.97,265.297,1103.48,310.715,0,0,1040.84,196.378,1158.35,194.797,0,0,783.841,229.25,785.449,207.283,791.708,244.877,796.391,180.606,0,0,0,0,0,0,0,0,0,0,0,0
