x,x0,0.9284272041,y0,0.9898678185,x1,0.6283676871,y1,0.9998173128,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,602.951,0.9225255452,477.173,0.9898816215,608.079,0.5950319884,639.528,0.9998075269,508.464,644.542,482.432,817.54,519.072,948.709,723.198,629.098,739.232,801.792,712.835,932.856,634.307,969.4,561.134,974.654,545.204,1226.08,524.582,1529.87,697.072,959.112,728.654,1215.6,759.846,1530.11,576.601,456.264,629.119,456.162,555.762,487.609,655.214,482.546,885.626,1577.14,875.203,1566.53,728.602,1571.81,482.571,1582.31,471.781,1571.65,555.6
000000000001,592.46,0.9094472022,477.255,0.9909204408,602.695,0.5128894914,639.515,0.9998026978,487.545,644.673,477.199,817.714,508.505,953.72,697.329,623.878,733.733,796.579,702.38,932.859,618.513,974.591,560.624,979.802,529.697,1226.25,529.452,1529.85,691.846,964.336,728.627,1220.96,759.919,1535.17,566.073,461.395,608.293,456.222,534.852,482.678,644.95,482.385,885.684,1577.21,875.207,1566.59,728.65,1571.95,482.58,1582.31,471.824,1571.65,555.675
000000000002,571.46,0.8973002781,477.315,0.9909430464,592.37,0.4366819419,639.505,0.9998008582,482.271,644.689,471.813,817.684,482.606,959.121,692.036,623.869,728.529,796.614,692.075,932.814,608.378,974.731,550.334,979.993,524.511,1231.22,524.583,1529.92,686.839,969.448,728.433,1215.71,759.882,1529.98,555.731,466.556,602.786,456.195,524.194,487.703,639.403,482.443,880.41,1577.16,870.054,1566.55,728.693,1566.76,482.558,1582.28,471.795,1571.63,555.622
000000000003,566.058,0.8886204683,477.292,0.9919476463,571.456,0.3664485552,639.555,0.9998137357,476.926,644.751,456.229,817.587,477.25,964.268,686.658,623.817,723.116,801.862,691.842,932.694,607.988,974.581,534.671,979.863,524.48,1231.38,524.567,1529.95,686.488,959.082,723.37,1210.46,754.727,1530.02,539.974,461.495,592.451,456.149,518.873,487.751,613.55,482.309,870.012,1577.1,869.92,1566.49,728.64,1571.75,482.51,1577.29,471.733,1566.81,555.634
000000000004,560.816,0.8808468682,477.363,0.9919563567,566.328,0.3196132256,639.553,0.999817415,471.736,644.738,445.748,817.412,466.731,953.909,681.476,623.882,707.694,791.456,686.891,932.655,602.978,964.234,529.455,974.583,524.304,1231.21,524.592,1529.84,681.253,948.721,702.473,1200.04,744.274,1524.91,524.583,461.516,576.667,461.336,508.553,487.681,608.247,482.473,854.236,1572.11,854.218,1566.37,728.497,1566.45,487.686,1582.29,471.913,1571.69,555.691
000000000005,550.552,0.8739526097,477.321,0.9919291886,565.948,0.2785044425,639.42,0.9998155754,456.145,644.601,440.748,812.354,445.816,948.658,676.112,623.734,697.329,801.933,686.408,932.934,602.636,969.474,524.248,974.722,524.063,1231.11,524.59,1524.92,670.869,959.087,702.363,1226.12,733.752,1524.77,524.094,461.498,566.389,456.274,492.95,487.608,603.071,482.332,833.407,1577.04,838.528,1566.42,717.958,1561.39,492.863,1582.31,476.898,1571.74,555.707
000000000006,539.943,0.8695567301,477.28,0.9919030574,560.935,0.2378057389,639.44,0.9998355815,445.87,644.612,440.59,812.269,440.794,948.598,660.544,623.716,697.028,801.797,671.046,932.893,597.406,964.208,519.201,974.633,519.254,1226.2,524.595,1524.83,655.411,953.767,692.063,1220.8,728.368,1524.82,518.974,466.581,565.955,456.165,487.61,492.783,602.69,482.396,817.829,1577.06,817.849,1566.44,692.141,1561.47,503.248,1582.42,477.03,1571.87,555.74
000000000007,529.488,0.8669299827,477.317,0.9918854292,555.819,0.2027450673,639.438,0.999854208,440.65,644.605,440.479,807.233,440.75,943.385,655.151,623.802,691.865,791.443,665.787,932.664,581.962,964.289,518.992,974.763,519.15,1231.32,524.557,1524.91,650.074,953.824,686.687,1205.18,717.981,1529.92,513.753,466.649,560.783,456.123,482.349,487.829,597.503,482.288,812.295,1577.15,812.427,1566.51,691.865,1566.59,498.026,1582.31,476.933,1571.78,555.717
000000000008,524.437,0.8660532945,477.352,0.991854528,550.564,0.1734759274,639.47,0.9998636362,440.412,644.747,440.367,807.16,445.729,943.112,650.122,623.715,691.76,791.405,660.434,932.861,581.849,964.203,518.914,974.639,519.076,1231.44,524.569,1524.85,650.01,953.81,686.411,1210.43,691.927,1524.88,508.496,466.665,555.769,456.161,477.303,492.821,592.27,482.293,780.993,1577.19,791.428,1566.54,676.13,1566.36,498.037,1582.25,476.98,1571.74,555.735
000000000009,524.212,0.8660350509,477.363,0.9918140868,545.158,0.1557058184,639.449,0.9998599569,440.288,644.665,435.43,807.117,445.906,937.848,649.863,618.702,686.833,796.657,655.336,932.762,576.612,964.245,518.788,974.642,518.901,1231.35,524.391,1524.82,649.81,953.83,670.922,1220.79,681.392,1529.82,498.206,466.567,555.609,456.219,477.127,487.773,581.968,482.382,765.217,1577.29,770.279,1566.68,650.024,1566.34,503.379,1582.25,477.043,1571.75,550.438
