Frame Number,x0,0.9999242066,y0,0.9985050093,x1,0.991843737,y1,0.9957777767,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,728.507,0.9999098257,477.118,0.9975711989,723.202,0.9902835576,639.463,0.9936951784,607.872,634.149,571.604,807.227,639.4,922.394,817.785,639.506,838.512,796.687,770.637,922.384,723.187,953.882,649.867,953.895,655.358,1226.08,686.472,1530.13,781,953.849,770.55,1215.76,749.506,1530.15,697.277,451.034,754.644,456.268,671.018,482.341,775.711,487.584,817.514,1592.8,817.744,1571.89,733.776,1566.65,608.272,1582.29,607.893,1566.84,691.952
000000000001,728.546,0.9998875909,477.149,0.996483698,723.371,0.9903962944,639.443,0.9911744096,608.021,629.059,576.601,801.963,634.213,927.511,822.752,639.486,843.742,801.882,770.556,922.316,723.273,959.024,649.915,958.997,655.285,1226.25,686.436,1530.06,781.094,958.97,770.617,1225.96,749.52,1530.2,697.295,451.05,754.694,456.258,676.082,482.352,775.741,482.648,817.653,1598.09,817.85,1572.06,733.76,1566.65,608.196,1582.27,603.033,1566.8,691.892
000000000002,728.554,0.999848886,477.12,0.9953666465,723.394,0.992780923,639.423,0.9874145205,608.026,634.157,576.692,801.918,623.791,927.676,822.797,639.359,843.766,796.587,770.607,922.442,723.36,959.008,650.011,959.015,655.257,1226.16,686.427,1530.16,781.144,958.944,770.617,1220.85,749.476,1530.16,697.328,450.993,754.751,456.212,676.213,482.3,775.792,482.64,812.503,1597.98,817.694,1572.02,733.719,1566.62,613.238,1577.3,607.918,1566.79,691.897
000000000003,728.589,0.99912008,476.974,0.9942403736,728.225,0.9927951376,639.42,0.983644966,608.096,634.191,581.852,806.971,618.606,937.82,822.819,639.333,843.875,796.576,775.518,932.67,728.321,953.836,650.179,953.806,655.253,1226,686.459,1530.08,786.248,953.856,770.623,1220.85,749.495,1530.12,697.36,450.862,759.871,456.101,676.255,482.311,775.863,487.612,812.441,1592.87,817.634,1571.94,733.786,1566.59,613.426,1582.26,608.052,1566.82,691.96
000000000004,728.572,0.9976796246,476.931,0.992073126,728.267,0.99041345,639.421,0.9786118857,608.159,634.259,587.089,807.156,613.455,938.032,822.884,639.338,848.82,801.762,775.811,937.798,728.495,953.847,655.201,953.81,655.409,1225.99,686.436,1530.03,791.461,953.853,770.687,1220.88,749.519,1530.09,697.322,445.891,759.878,451.026,681.201,482.312,775.931,482.688,812.414,1592.89,817.636,1571.95,733.798,1566.51,613.465,1577.26,608.074,1566.76,691.921
000000000005,728.57,0.9955213433,476.902,0.9898953996,728.241,0.9879675514,639.373,0.9735691399,608.147,634.275,587.141,807.038,608.314,943.184,822.857,634.29,848.88,796.606,780.863,938.033,728.489,953.816,655.208,953.859,655.367,1221,686.396,1530.05,791.456,953.799,770.682,1220.81,749.485,1535.16,697.305,445.865,759.9,450.967,681.196,482.314,775.961,482.599,817.517,1592.88,817.747,1571.97,733.713,1566.73,613.34,1582.31,607.984,1566.83,691.851
000000000006,728.529,0.9926343933,476.878,0.9855734791,728.27,0.9854540107,634.369,0.9673288356,608.166,634.202,587.125,807.136,608.121,943.428,822.91,629.064,848.992,786.264,791.507,937.998,728.374,953.817,650.225,958.956,655.334,1210.49,686.447,1530.01,791.325,953.734,775.51,1210.55,749.524,1535.24,697.277,445.821,759.862,450.943,676.24,482.252,775.929,482.594,817.596,1597.94,817.77,1571.99,733.736,1566.77,613.367,1577.33,608.008,1566.8,691.897
000000000007,728.482,0.9890471857,476.834,0.980152531,728.242,0.9804127148,634.296,0.9622720748,608.201,634.187,581.951,806.942,602.809,943.52,822.86,623.914,849.036,786.143,812.2,937.937,728.291,953.859,650.143,958.978,655.442,1205.3,686.38,1529.98,786.126,953.83,775.53,1215.59,749.439,1535.17,697.246,445.734,754.827,450.872,676.272,477.372,775.916,482.52,817.764,1597.93,822.758,1571.99,733.611,1566.73,618.623,1577.15,608.122,1566.69,691.78
000000000008,728.455,0.9847532697,472.015,0.9736644109,728.242,0.9728671911,634.233,0.957188009,608.208,634.198,576.804,801.974,597.579,948.631,822.891,623.746,854.104,791.421,817.368,938.05,723.43,953.764,650.054,953.882,655.418,1200.16,686.396,1529.9,781.07,953.759,775.457,1215.66,744.398,1535.18,697.172,445.716,754.755,445.854,676.175,477.324,775.909,482.345,817.62,1592.8,817.723,1571.93,733.639,1566.67,613.407,1577.11,608.068,1566.64,691.849
000000000009,728.429,0.9797592333,471.98,0.9681470568,723.423,0.9602347867,629.097,0.9509305484,608.187,634.189,576.606,806.92,581.832,948.601,822.822,618.528,854.111,791.432,817.628,938.197,723.229,948.652,649.839,953.722,650.278,1200.16,681.482,1524.56,780.889,948.705,775.548,1225.95,744.38,1535.15,697.145,445.696,754.648,445.78,676.088,477.304,775.869,482.244,817.72,1592.91,822.762,1571.99,728.744,1566.68,613.297,1577.18,607.9,1566.62,691.833
