Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,0,0,0,0,0,0,0,0,0,0,453.235,278.735,708.627,238.2,898.375,212.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288.791,352.06,0,0,0,0,0,0,0,0,0,0,0
000000000001,255.967,491.112,435.54,410.206,430.42,536.687,653.028,617.508,868.002,713.681,430.461,554.299,647.987,615.008,873.032,713.728,852.815,410.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.836,475.927,0,0,248.344,435.55,0,0,0,0,0,0,0,0,0,0,0
000000000002,291.286,481.042,450.638,415.246,435.589,549.334,658.143,627.727,873.06,718.89,463.376,288.771,703.582,250.905,898.328,213.022,867.976,427.928,888.227,488.637,1067.78,498.772,0,0,840.217,352.044,1280.28,352.065,0,0,273.687,488.581,268.624,470.91,0,0,298.948,357.108,0,0,0,0,0,0,0,0,0,0,0
000000000003,314.114,463.326,450.623,420.302,448.101,549.302,660.622,635.194,878.056,728.863,463.289,293.862,703.616,253.354,895.802,213.073,852.838,395.065,850.273,400.124,1017.22,321.719,0,0,847.753,352.047,1267.6,349.466,0,0,291.354,475.947,288.793,450.664,291.294,496.219,306.493,369.787,0,0,0,0,0,0,0,0,0,0,0
000000000004,329.273,450.628,453.156,422.833,455.738,574.569,678.258,637.888,0,0,455.784,303.973,696.078,255.92,888.235,213.036,860.439,425.394,862.944,496.19,0,0,0,0,862.938,357.081,1260.05,352.099,0,0,311.615,470.947,271.111,473.449,0,0,311.561,372.323,0,0,0,0,0,0,0,0,0,0,0
000000000005,314.068,476.035,453.255,433.056,455.737,559.49,678.31,637.795,880.627,723.828,455.843,311.531,696.086,255.911,885.731,210.512,880.64,425.403,878.101,496.185,1014.71,508.865,0,0,868.012,354.595,1244.77,357.168,0,0,293.928,481.074,281.235,473.462,306.542,496.298,314.024,377.396,0,0,0,0,0,0,0,0,0,0,0
000000000006,301.456,496.269,453.276,435.593,458.276,567.06,695.924,635.254,878.074,713.725,458.243,311.593,685.892,261.01,883.213,210.29,865.474,412.748,862.944,493.687,999.477,572.106,0,0,865.484,357.097,1227.15,354.539,0,0,293.912,496.139,281.215,493.592,311.604,508.857,314.171,384.955,0,0,0,0,0,0,0,0,0,0,0
000000000007,331.853,374.801,455.76,445.651,463.366,574.62,564.482,612.51,870.54,696.045,455.746,316.638,678.264,266.098,880.754,205.367,847.774,400.115,842.742,415.271,1037.4,339.383,0,0,840.196,352.074,1216.96,357.13,0,0,319.175,389.916,316.612,379.906,334.436,400.108,316.615,372.323,0,0,0,0,0,0,0,0,0,0,0
000000000008,0,0,453.129,450.697,463.304,577.215,695.958,617.745,857.861,668.187,450.717,321.735,675.678,271.092,880.705,205.319,875.58,430.44,862.947,493.65,0,0,0,0,860.399,362.169,1204.46,357.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000000009,326.764,384.939,445.586,455.694,465.877,574.617,574.592,614.97,0,0,453.161,326.761,670.706,271.184,875.549,200.348,870.528,432.971,916.032,475.993,1042.53,344.5,0,0,840.168,357.151,1194.27,367.214,0,0,314.231,392.533,0,0,329.292,400.137,0,0,0,0,0,0,0,0,0,0,0,0,0
