Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,1160.09,368.424,1048.27,380.17,1045.47,294.712,907.018,271.184,789.305,250.622,1048.21,459.699,957.075,480.339,927.638,483.174,859.98,383.129,856.997,341.856,577.274,356.622,347.8,362.381,865.866,427.263,589.126,418.392,350.762,427.296,1166.12,356.571,1168.95,388.906,1145.48,321.422,1142.56,409.654,297.732,462.565,312.441,462.562,327.215,412.665,288.878,338.881,291.782,335.948,330.116
000000000001,1160.13,365.567,1048.35,377.22,1048.24,291.988,907.13,271.225,789.33,250.627,1048.22,456.78,968.815,483.14,909.918,483.218,862.893,383.153,859.936,341.935,574.502,356.612,344.888,362.403,865.836,424.353,594.967,424.299,347.862,430.139,1166.15,350.756,1169.06,386.006,1142.62,321.297,1151.3,409.684,294.949,462.668,309.572,462.637,324.292,415.538,288.851,338.926,291.744,335.975,327.174
000000000002,1162.93,365.565,1048.31,380.169,1048.18,291.883,907.043,271.259,789.327,253.581,1045.42,462.592,930.623,483.129,856.928,483.345,842.317,388.933,842.245,341.909,571.539,356.568,344.919,362.409,845.247,433.081,592.062,415.564,347.85,430.13,1168.94,350.771,1174.84,386.015,1145.51,321.434,1154.22,409.715,297.787,462.601,312.532,462.645,324.28,415.515,288.917,339,291.805,336.029,330.148
000000000003,1160.15,365.432,1048.36,377.24,1048.28,291.847,912.964,271.332,789.372,259.46,1045.42,459.587,927.594,480.352,836.475,483.233,845.203,386.109,842.233,341.899,577.311,356.665,344.825,362.372,851.083,433.023,592.044,421.363,353.708,430.19,1166.17,350.694,1171.95,383.138,1145.5,324.235,1157.14,412.473,300.725,459.736,315.389,459.792,330.179,415.573,288.867,341.86,288.977,338.894,327.222
000000000004,1162.94,365.568,1048.36,374.341,1048.31,291.789,912.868,271.368,789.399,262.421,1045.42,456.72,927.556,483.106,824.557,483.358,842.238,386.14,839.335,341.862,574.422,353.706,344.845,362.377,845.226,433.11,583.288,418.43,353.692,430.117,1168.96,350.797,1174.85,386.035,1148.34,324.259,1154.25,412.438,297.756,468.482,312.424,465.575,330.163,415.457,288.909,341.851,291.793,338.859,330.121
000000000005,1160.17,365.487,1048.39,377.185,1048.4,291.782,910.044,271.37,792.196,265.362,1045.42,456.779,924.641,483.086,810.001,489.044,836.468,386.021,836.438,339.028,574.368,353.699,344.846,362.385,842.287,430.24,580.354,415.586,353.724,430.195,1166.16,347.871,1171.95,385.958,1145.51,321.389,1154.27,412.45,300.694,462.581,312.526,462.572,330.167,415.521,291.772,338.944,291.886,336.04,330.09
000000000006,1162.93,365.564,1048.4,374.282,1051.19,291.841,907.045,271.383,789.398,268.187,1048.2,456.678,921.729,483.154,801.067,491.971,836.442,385.984,836.335,338.97,574.437,356.587,342.03,362.451,845.23,430.225,583.256,415.486,356.585,430.189,1168.95,350.791,1171.94,386.019,1148.34,324.276,1148.39,409.58,297.832,462.647,312.513,462.688,333.098,415.54,291.9,339.043,294.745,338.929,330.092
000000000007,1163.03,365.513,1048.42,374.271,1051.25,291.822,910.025,271.36,792.328,268.198,1045.39,456.688,912.973,483.107,789.356,497.845,836.457,386.065,836.34,339.024,574.407,356.624,344.872,359.598,845.203,430.264,577.371,415.498,353.719,427.276,1169.08,350.792,1174.86,386.024,1148.37,324.316,1145.51,409.597,300.745,465.539,315.376,465.506,333.093,412.634,291.81,341.95,291.933,338.997,327.229
000000000008,1160.17,365.531,1048.35,374.253,1051.26,291.801,904.164,271.352,792.238,268.227,1045.31,456.75,910.022,483.189,789.175,495,827.534,386.005,821.638,338.882,577.315,356.659,344.855,362.383,833.469,433.04,580.353,415.502,362.409,430.144,1169.03,353.683,1169.04,386.086,1148.41,324.318,1142.52,409.673,309.496,459.716,318.279,459.8,338.935,415.472,291.907,341.875,294.766,338.958,333.021
000000000009,1163.06,365.538,1048.41,371.416,1051.26,291.827,907.134,271.351,795.201,265.372,1045.37,456.706,909.987,483.221,786.41,497.953,839.29,386.027,836.394,338.923,577.449,356.632,356.575,362.396,848.135,430.256,589.166,415.464,356.649,430.133,1171.91,350.763,1174.87,386.104,1148.43,324.249,1145.48,409.698,294.899,462.649,312.405,462.697,335.973,412.673,291.936,339.049,294.799,338.918,338.954
000000000010,1163.05,365.615,1048.38,374.306,1051.19,291.764,909.918,271.284,792.295,262.397,1045.35,456.721,907.126,486.12,786.303,500.759,839.35,386.05,839.306,338.994,577.299,356.633,350.733,359.562,848.156,433.026,586.214,415.525,353.668,430.193,1171.97,350.761,1177.81,388.929,1151.31,321.401,1157.13,412.644,297.845,471.379,312.499,468.486,327.212,415.483,291.925,341.888,294.743,338.951,335.955
000000000011,1162.97,365.503,1048.44,377.211,1054.17,291.786,907.018,271.154,792.237,253.671,1045.44,456.772,912.886,483.324,789.213,500.761,839.367,385.975,836.388,338.952,577.425,356.618,347.816,362.387,851.095,430.238,577.476,418.417,356.602,427.313,1169.04,350.738,1174.84,386.096,1151.34,327.201,1154.24,412.603,300.742,456.752,315.357,459.612,333.102,415.504,291.825,339.031,291.944,338.889,333.061
000000000012,1163.17,368.348,1051.2,374.311,1054.23,291.859,915.817,268.44,798.158,250.622,1048.19,456.756,912.873,486.114,792.24,500.816,839.338,386.058,836.364,339.023,577.325,359.474,344.911,362.389,848.125,433.051,597.903,421.355,347.815,430.227,1177.74,353.654,1180.76,386.155,1157.13,324.279,1154.25,412.517,300.708,465.568,309.569,462.658,318.455,418.459,291.778,333.039,291.922,330.142,324.276
000000000013,1165.94,365.636,1048.45,377.235,1054.22,291.855,924.696,268.418,806.854,247.681,1045.46,459.58,915.88,483.36,803.956,500.788,839.378,386.129,836.454,341.919,574.505,359.561,347.795,362.433,848.144,433.033,583.293,421.395,350.787,433.093,1177.76,353.643,1180.8,386.142,1151.32,321.432,1148.39,412.53,306.629,474.312,315.408,468.541,321.363,418.5,291.937,341.861,294.793,338.927,330.179
000000000014,1163.13,365.493,1048.43,380.204,1054.18,291.902,924.593,268.276,809.776,244.863,1045.4,459.687,915.821,486.161,809.76,500.883,845.188,389.038,839.391,344.828,574.327,359.493,341.998,362.457,851.097,433.179,586.239,424.306,359.614,433.136,1174.87,350.722,1180.7,386.034,1157.15,327.181,1151.36,412.609,294.818,459.678,306.601,462.61,333.088,424.29,288.879,338.941,288.943,335.953,324.268
000000000015,1163.11,365.506,1048.39,380.126,1051.26,294.72,912.963,265.336,809.962,244.768,1045.47,459.579,915.899,483.339,809.915,503.634,842.236,388.929,836.494,341.898,577.314,356.656,341.891,362.407,845.199,433.164,580.343,430.105,362.49,433.251,1171.92,350.733,1177.82,386.067,1148.44,324.271,1154.29,412.61,294.837,450.851,312.387,459.634,333.092,430.131,288.938,341.862,291.769,338.895,321.315
000000000016,1163,365.587,1048.34,380.219,1051.21,294.737,921.735,265.406,812.739,241.886,1045.42,459.611,924.621,483.31,812.835,503.688,839.285,389.061,836.346,341.985,577.287,359.591,341.87,362.397,842.281,435.985,574.42,433.171,362.437,436.18,1169.01,353.704,1174.88,386.164,1151.27,330.117,1151.29,412.583,344.863,503.819,356.641,494.981,330.125,430.191,288.914,341.866,291.811,338.92,321.309
000000000017,1160.14,368.379,1048.3,383.147,1048.3,294.783,924.64,268.206,812.971,241.818,1045.32,459.723,912.901,486.079,809.915,503.723,848.143,389.059,845.219,342.053,574.371,362.431,341.931,362.434,851.099,435.994,577.399,436.032,365.42,436.032,1166.12,356.665,1169.04,388.908,1145.46,330.143,1148.43,415.479,318.354,486.219,327.227,483.284,338.933,427.258,286.036,339.034,291.735,338.864,327.173
000000000018,1163.02,371.348,1048.25,386.033,1048.19,294.884,924.582,268.283,815.757,241.863,1045.32,462.595,918.776,486.181,812.767,503.837,851.093,391.909,851.06,347.754,577.423,362.518,344.896,362.579,854.039,436.057,595.048,436.073,380.133,439.073,1166.15,356.667,1174.89,386.141,1142.38,321.414,1151.27,412.626,318.383,477.313,335.961,480.279,350.717,433.086,286.01,338.962,291.76,336.016,335.977
000000000019,1160.14,368.449,1045.42,386.096,1045.31,294.971,915.822,268.383,812.869,244.689,1042.41,468.44,924.628,489.032,812.983,506.62,848.166,391.916,848.138,347.851,577.387,362.556,341.984,362.538,851.06,436.053,577.386,436.221,371.362,444.908,1166.08,359.451,1169.05,388.921,1142.47,324.242,1148.43,415.58,318.357,483.251,338.944,489.082,347.834,433.208,288.966,344.891,291.817,341.912,330.138
000000000020,1157.19,371.296,1045.39,388.976,1045.29,297.863,912.93,271.28,812.874,244.824,1042.44,471.409,921.765,500.736,812.82,506.824,842.229,391.969,839.356,347.867,577.359,362.516,341.904,362.518,842.322,436.166,580.389,436.257,383.116,444.905,1165.95,359.606,1168.96,389.017,1145.37,338.83,1151.31,415.575,318.458,480.318,338.949,486.09,359.553,433.099,285.999,338.966,288.967,336.059,327.234
000000000021,1154.21,377.206,1045.46,389.086,1045.24,306.583,918.754,280.12,812.911,247.738,1042.45,477.23,912.94,503.769,806.966,506.908,845.191,397.892,853.956,359.524,577.385,365.378,341.839,362.568,842.323,441.961,571.473,438.988,377.25,453.749,1163.12,362.467,1166.05,391.908,1142.56,339.031,1148.38,418.51,321.333,483.189,338.898,486.151,353.654,436.17,291.801,341.914,291.943,338.997,327.163
000000000022,1145.46,383.02,1045.36,391.966,1045.22,312.437,909.993,286.026,809.878,250.787,1039.51,477.326,918.745,506.636,804.055,512.621,845.173,406.668,845.188,362.59,577.319,365.391,344.891,362.479,848.177,447.854,574.403,439.056,368.361,453.817,1160.18,362.647,1163.05,394.849,1139.61,339.08,1142.39,427.318,318.338,486.22,330.128,489.081,341.992,438.996,291.957,341.959,294.806,339.01,336.005
000000000023,1145.44,383.071,1045.35,394.914,1045.27,318.4,909.966,291.851,806.903,265.431,1039.41,480.227,915.898,506.771,806.912,518.543,851.05,409.655,854.045,365.475,577.4,365.571,344.85,362.489,851.123,453.768,577.358,442.041,365.448,453.739,1160.16,365.45,1163.02,394.872,1142.4,342.035,1139.62,427.242,318.306,483.254,324.307,483.315,341.936,436.185,291.866,341.916,291.956,338.99,333.09
000000000024,1148.43,386.166,1045.28,403.659,1042.42,321.317,912.928,294.961,801.099,271.232,1039.44,483.209,907.114,509.631,792.302,524.434,845.193,415.458,845.245,371.307,577.437,365.625,344.891,362.48,848.151,459.556,589.174,447.826,365.567,456.684,1162.97,365.606,1165.94,403.686,1139.46,341.911,1142.56,433.15,321.327,489.135,338.874,494.956,341.965,441.943,291.893,342.003,294.739,339.055,335.953
000000000025,1145.44,388.898,1042.42,409.51,1042.4,321.324,907.037,306.557,789.39,274.299,1036.57,486.171,907.07,509.747,789.291,527.274,848.115,418.407,853.969,377.2,577.427,365.544,347.792,362.482,848.123,459.729,580.395,447.841,365.527,456.679,1160.08,368.467,1163.12,406.569,1136.62,344.833,1142.52,433.171,321.378,492.057,339.029,497.882,341.918,441.938,294.719,344.882,294.852,341.908,336.019
