Frame Number,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,y21,x22,y22,x23,y23,x24,y24
000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.732,141.571,911.49,137.639,852.67,270.846,866.462,415.808,980.045,147.409,944.742,319.905,978.17,507.944,0,0,0,0,0,0,0,0,915.391,558.825,929.083,562.775,999.641,527.48,789.988,441.287,792.034,433.48,882.11
000000000001,0,0,592.158,5.35809,541.202,5.36255,521.662,51.4478,494.127,108.267,0,0,0,0,0,0,588.248,196.386,554.989,190.509,541.309,321.909,650.992,449.214,621.591,204.25,588.157,351.24,586.307,509.957,0,0,0,0,0,0,0,0,521.652,525.553,539.194,535.33,600.003,523.563,621.543,498.158,627.408,494.167,668.587
000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.789,141.556,915.328,137.62,852.689,268.921,866.416,415.777,980.05,147.39,944.77,319.877,979.993,507.934,0,0,0,0,0,0,0,0,915.394,558.869,927.185,564.718,999.655,527.506,789.987,441.278,792.037,433.466,882.056
000000000003,0,0,596.044,5.36287,541.294,5.36057,525.535,39.6876,492.219,104.349,662.688,5.34534,711.72,98.4314,688.141,221.869,588.21,194.41,554.91,184.674,543.16,321.848,652.917,453.097,621.592,200.333,588.289,351.214,588.161,511.841,0,0,0,0,0,0,0,0,523.568,531.436,539.253,539.259,601.964,523.644,631.284,503.949,633.276,494.234,670.535
000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.769,141.566,913.447,137.644,852.651,270.798,866.434,415.857,980.044,147.395,944.763,319.902,978.168,507.906,0,0,0,0,0,0,0,0,915.372,558.827,927.182,562.785,999.636,527.487,789.993,439.364,792.032,433.44,882.065
000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.811,141.541,915.345,135.714,852.658,268.89,866.439,415.838,980.088,145.492,944.762,319.907,978.179,507.967,0,0,0,0,0,0,0,0,915.377,558.819,929.069,562.752,999.662,527.525,790.011,439.345,793.938,431.586,880.176
000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948.654,139.58,915.383,135.677,852.652,268.883,866.394,415.797,980.094,145.445,944.756,321.725,980.011,509.831,0,0,0,0,0,0,0,0,915.387,558.856,929.073,562.781,999.675,527.543,790.026,439.371,793.942,433.435,880.131
000000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.825,141.54,915.353,135.717,852.649,268.908,866.39,415.845,980.116,145.478,944.767,319.904,980.001,507.963,0,0,0,0,0,0,0,0,915.39,558.83,929.08,562.761,999.675,527.532,790.027,441.273,793.942,433.46,880.121
000000000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.828,139.603,915.362,135.688,852.627,270.811,866.374,413.935,980.114,145.461,944.756,319.9,980.005,507.966,0,0,0,0,0,0,0,0,915.408,558.832,929.104,562.766,999.692,527.53,790.014,441.282,793.923,433.445,880.125
000000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946.795,139.576,913.428,135.687,852.639,270.843,866.396,415.832,980.134,145.438,944.775,319.891,980.031,509.836,0,0,0,0,0,0,0,0,915.42,556.972,929.103,562.746,1001.59,529.449,790.021,441.254,793.927,433.435,880.127
